,0,1,2,3,4,5,6,7
0,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,True
2,False,False,False,False,False,False,False,True
3,False,False,False,False,False,False,False,True
4,False,False,False,False,False,False,False,False
5,False,False,False,False,False,False,True,True
6,False,False,False,False,False,False,False,False
7,False,False,False,False,False,False,False,True
8,False,False,False,False,False,False,False,False
9,False,False,False,False,False,True,True,True
10,False,False,False,False,False,False,False,False
11,False,False,False,False,False,False,False,False
12,False,False,False,False,False,False,False,False
13,False,False,False,False,False,False,False,True
14,False,False,False,False,False,False,False,True
15,False,False,False,False,False,False,False,True
16,False,False,False,False,False,False,False,True
17,False,False,False,False,False,False,True,True
18,False,False,False,False,False,False,False,False
19,False,False,False,False,False,False,False,True
20,False,False,False,False,False,False,False,False
21,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,True,True
23,False,False,False,False,False,False,False,False
24,False,False,False,False,False,False,True,True
25,False,False,False,False,False,False,False,False
26,False,False,False,False,True,True,True,True
27,False,False,False,False,False,False,False,False
28,False,False,False,False,False,False,True,True
29,False,False,False,False,False,False,False,True
30,False,False,False,False,False,False,False,True
31,False,False,False,False,False,False,False,False
32,False,False,False,False,False,False,False,False
33,False,False,False,False,False,False,False,False
34,False,False,False,False,False,False,False,False
35,False,False,False,False,False,False,False,False
36,False,False,False,False,True,True,True,True
37,False,False,False,False,False,False,False,True
38,False,False,False,False,False,False,False,True
39,False,False,False,False,False,False,False,False
40,False,False,False,False,False,False,False,False
41,False,False,False,False,False,False,False,False
42,False,False,False,False,False,False,False,False
43,False,False,False,False,False,False,False,False
44,False,False,False,False,False,False,False,False
45,False,False,False,False,False,False,False,False
46,False,False,False,False,False,False,False,False
47,False,False,False,False,False,False,False,False
48,False,False,False,False,False,False,False,False
49,False,False,False,False,False,False,True,True
50,False,False,False,False,False,False,False,False
51,False,False,False,False,False,False,False,False
52,False,False,False,False,False,False,False,False
53,False,False,False,False,False,False,True,True
54,False,False,False,False,False,False,False,True
55,False,False,False,False,False,True,True,True
56,False,False,False,False,False,True,True,True
57,False,False,False,False,False,False,False,False
58,False,False,False,False,False,False,False,False
59,False,False,False,False,False,False,False,False
60,False,False,False,False,False,False,False,False
61,False,False,False,False,False,False,False,False
62,False,False,False,False,False,False,False,False
63,False,False,False,False,False,False,False,False
64,False,False,False,False,False,False,False,False
65,False,False,False,False,False,False,False,False
66,False,False,False,False,True,True,True,True
67,False,False,False,False,False,False,False,True
68,False,False,False,False,False,False,False,False
69,False,False,False,False,False,False,False,False
70,False,False,False,False,False,False,False,False
71,False,False,False,False,False,False,False,False
72,False,False,False,False,False,False,False,False
73,False,False,False,False,False,False,False,False
74,False,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False,False
76,False,False,False,False,False,False,False,True
77,False,False,False,False,False,False,False,False
78,False,False,False,False,False,False,False,False
79,False,False,False,False,False,False,False,True
80,False,False,False,False,False,False,False,False
81,False,False,False,False,False,False,False,True
